Title,Year,Genre,Plot,Topic_Perc_Contrib,Dominant_Topic,lemmatized_Plot,Keywords
Insiang,1976,Drama,"Trapped in the slums, Insiang finds living with her disapproving, sharp-tongued mother, Tonya, trying. Tonya, having long ago been abandoned by her husband, takes her bitterness out on those around her. In a fit of anger, she finally throws out her husband's relatives who have been living with her, but it's not for the sake of their not bringing in money anymore, which it seems on the surface. She's making way for her boyfriend, Dado, to move in. Dado, the town bully, is young enough to be her son, and this new living situation becomes the talk of the town. It isn't long before he forces himself upon Insiang. Tonya is at first outraged but soon takes Dado's side and blames her daughter for her own rape. Insiang leaves home to seek support and solace from her ardent would-be boyfriend Bebot, but he proves to be another Lothario as well. Forced to return home, Insiang turns this inescapable situation upon itself to exact revenge.Written bystatmanjeff",0.6011000275611877,13.0,"['trap', 'slum', 'insiang', 'find', 'live', 'disapprove', 'sharptongued', 'mother', 'try', 'long', 'ago', 'abandon', 'husband', 'take', 'bitterness', 'fit', 'anger', 'finally', 'throw', 'husband', 'relative', 'live', 'sake', 'bring', 'money', 'anymore', 'seem', 'surface', 'make', 'way', 'boyfriend', 'dado', 'move', 'dado', 'town', 'bully', 'young', 'enough', 'son', 'new', 'living', 'situation', 'become', 'talk', 'town', 'long', 'force', 'insiang', 'tonya', 'first', 'outraged', 'soon', 'take', 'dado', 'side', 'blame', 'daughter', 'rape', 'insiang', 'leave', 'home', 'seek', 'support', 'solace', 'ardent', 'wouldbe', 'boyfriend', 'bebot', 'prove', 'lothario', 'well', 'force', 'return', 'home', 'insiang', 'turn', 'inescapable', 'situation']","hit, screen, drama, strange, sow, ever, unfulfilled, energy, coco, fernando_poe_jr"
Foolish Love,2017,"Comedy, Romance","A story of young friends in their adventures and misadventures about love. Cai is a single mother who struggles in making ends meet for her children. Miho is offered with indecent proposals by her son's boss, but she turned him down and chose barista, Tommy Esguerra, who expressed his love for her.Angeline starts a search for the man in her recurring dreams about her childhood. One evening, after a day of searching, she meets Jake Cuenca, a deluded psychotic pretending to be the real ""kababata"" in her dreams. She falls for him and in the course of the story, Jake dies. The story ends where Angeline visits Jake's grave and reveals that her long search for the man in her dreams is a disfigured hilarious guy Jerald Napoles.Written byanonymous",0.7210000157356262,0.0,"['story', 'young', 'friend', 'adventures_misadventure', 'love', 'single', 'mother', 'struggle', 'make', 'child', 'offer', 'indecent', 'proposal', 'son', 'boss', 'turn', 'chose', 'barista', 'tommy', 'esguerra', 'express', 'love', 'herangeline', 'start', 'search', 'man', 'recur', 'dream', 'childhood', 'evening', 'day', 'searching', 'meet', 'deluded', 'psychotic', 'pretend', 'real', 'kababata', 'dream', 'fall', 'course', 'story', 'jake', 'die', 'story', 'end', 'angeline', 'visit', 'jake', 'grave', 'reveal', 'long', 'search', 'man', 'dream', 'disfigure', 'hilarious', 'guy', 'jerald', 'napole']","life, time, woman, story, sound, man, young, relationship, love, way"
Sunday Night Fever,2020,"Romance, Thriller","Mikey (Diether Ocampo) is at the peak of his career as a chef, but to everyone's confusion, he remains single and unattached. Unbeknownst to them, beneath his manly and innocent good looks lies an insatiable, dark secret. Armed with a telescope, he spies on unsuspecting women inside condo units across his own. One fateful night, his sights catch onto Kim (Nathalie Hart) as she makes love to her rich middle-aged partner, Rudy (Ricky Davao). Their worlds collide when Kim and Rudy begins frequenting the posh restaurant Mikey co-owns. With a common desire to satisfy their needs, Kim and Mikey embark on a dangerous love affair that puts their lives in peril.Written byiWant",0.95770001411438,6.0,"['peak', 'career', 'chef', 'everyone', 'confusion', 'remain', 'single', 'unattached', 'unbeknownst', 'manly', 'innocent', 'good', 'look', 'lie', 'insatiable', 'dark', 'secret', 'armed', 'telescope', 'spy', 'unsuspecting', 'woman', 'condo', 'unit', 'fateful', 'night', 'sight', 'catch', 'hart', 'make', 'love', 'rich', 'middleaged', 'partner', 'rudy', 'world', 'collide', 'begin', 'frequent', 'posh', 'restaurant', 'mikey', 'coowns', 'common', 'desire', 'satisfy', 'need', 'mikey', 'embark', 'dangerous', 'love', 'affair', 'put', 'life', 'peril']","life, film, family, live, face, man, people, love, story, first"
Hulihin: probinsiyanong mandurukot,1993,Comedy,Rene Requiestas plays a man recently arrived from the province who meets a pretty young woman (Ruffa Gutierrez) who turns out to be a snatcher. She becomes his love interest and becomes a snatcher himself.,0.9508000016212464,13.0,"['rene_requiesta', 'play', 'man', 'recently', 'arrive', 'province', 'meet', 'pretty', 'young', 'woman', 'ruffa', 'turn', 'snatcher', 'become', 'love', 'interest', 'become', 'snatcher']","hit, screen, drama, strange, sow, ever, unfulfilled, energy, coco, fernando_poe_jr"
Virgin People,1984,Drama,"Three sisters live in a paradise where men are metaphorically and literally serpents of temptation. Their father takes his three daughters deep into the woods, far from the nearest town. He dies, leaving the girls educated enough to read from the Bible, ignorant enough to allow men to take advantage of them.Written bypiratacubeme",0.4420000016689301,0.0,"['sister', 'live', 'paradise', 'man', 'metaphorically', 'literally', 'serpent', 'temptation', 'father', 'take', 'daughter', 'deep', 'wood', 'far', 'near', 'town', 'die', 'leave', 'girl', 'educate', 'enough', 'read', 'bible', 'ignorant', 'enough', 'allow', 'man', 'take', 'advantage']","life, time, woman, story, sound, man, young, relationship, love, way"
Tunay na tunay: Gets mo? Gets ko!,2000,"Action, Comedy, Romance","For years, mob boss Don Julio (Efren Reyes Jr.) has been the target of police investigation, led by honest cop Col. Alano (Gammy Viray). Quite a number of police deep penetration agents (DPA's) have been placed into Don Julio's organization. But somehow, Don Julio manages to find and kill them. Except for one. With the suspicion that an insider from their ranks have been tipping Don Julio of the DPA's identities, Col. Alano sends in agent Nick Abeleda (a.k.a. Abner) (Robin Padilla) without the knowledge of his superiors. Nick manages to hide his real identity, until the day of Don Julio and his men are captured except Kaliwete (Dindo Arroyo), his right-hand man. With Don Julio's syndicate destroyed, Nick is now ready to go back to the regular Police Force.Written byledster",0.6255999803543091,1.0,"['year', 'mob', 'boss', 'efren', 'jr', 'target', 'police', 'investigation', 'lead', 'honest', 'cop', 'col', 'alano', 'gammy', 'viray', 'quite', 'number', 'police', 'deep', 'penetration', 'agent', 'dpa', 'place', 'julio', 'organization', 'somehow', 'manage', 'find', 'kill', 'suspicion', 'insider', 'rank', 'tip', 'julio', 'dpa', 'identity', 'col', 'alano', 'send', 'agent', 'nick', 'aka', 'knowledge', 'superior', 'nick', 'manage', 'hide', 'real', 'identity', 'day', 'man', 'capture', 'kaliwete', 'dindo', 'arroyo', 'righthand', 'man', 'julio', 'syndicate', 'destroy', 'nick', 'ready', 'go', 'back', 'regular', 'police', 'force']","action, gut, pack, penetrate, insider, site, fight, screen, water, village"
Yellow Rose,2019,"Drama, Music","Rose, an undocumented 17 year old Filipina, dreams of one day leaving her small Texas town to pursue her country music dreams. Her world is shattered when her mom suddenly gets picked up by Immigration and Customs Enforcement. Rose, facing this new realty, is forced to flee the scene, leaving behind the only life she knows, and embarks on a journey of self-discovery as she searches for a new home in the honky tonk world of Austin, Texas.Written byCecilia Mejia",0.36739999055862427,14.0,"['rise', 'undocumented', 'filipina', 'dream', 'day', 'leave', 'small', 'texas', 'town', 'pursue', 'country', 'music', 'dream', 'world', 'shatter', 'mom', 'suddenly', 'pick', 'immigration', 'custom', 'enforcement', 'rise', 'face', 'new', 'realty', 'force', 'flee', 'scene', 'leave', 'life', 'know', 'embark', 'journey', 'selfdiscovery', 'search', 'new', 'home', 'honky', 'tonk', 'world', 'austin']","retake, brave, troop, japanese, ostracize, man, basic, guise, rd, united_state"
Ilustrado,2014,Drama,"Near the end of the 19th century, 35-year-old Jos Rizal turned into the Philippines' most beloved hero when he was martyred by the Spanish colonial government at Bagumbayan. He died an extraordinary man of his times: renowned novelist, poet, ophthalmologist, journalist, and linguist. But behind these achievements, there remained the story of a man every Filipino can relate and connect to. Like today's overseas Filipino, Rizal needed to leave his family to fulfill his studies and career abroad, suffering from homesickness, and enduring a long-distance relationship with the woman he loved most. He was also the best example of the Filipino who came back home and used the knowledge and skills he learned abroad to help improve the lives of his family and countrymen.",0.7940000295639038,0.0,"['end', 'th_century', 'jos', 'rizal', 'turn', 'philippine', 'beloved', 'hero', 'martyr', 'spanish', 'colonial', 'government', 'bagumbayan', 'die', 'extraordinary', 'man', 'renowned', 'novelist', 'poet', 'ophthalmologist', 'journalist', 'linguist', 'achievement', 'remain', 'story', 'man', 'filipino', 'relate', 'connect', 'todays', 'overseas', 'filipino', 'rizal', 'need', 'leave', 'family', 'fulfill', 'study', 'career', 'abroad', 'suffer', 'homesickness', 'endure', 'longdistance', 'relationship', 'woman', 'love', 'also', 'good', 'example', 'filipino', 'come', 'back', 'home', 'use', 'knowledge', 'skill', 'learn', 'abroad', 'help', 'improve', 'life', 'family', 'countryman']","life, time, woman, story, sound, man, young, relationship, love, way"
Ang pagdadalaga ni Maximo Oliveros,2005,Drama,"Can a 12-year old lad who wishes he were a girl navigate the mean streets of Manila? Maxi cooks, cleans, and sews for his father and older brothers who are petty criminals. He's sweet, clever and hardworking, at ease with being gay, pinning a flower in his hair, swinging his hips when he walks, vamping with friends. He's seen adults hug and kiss and he's watched romantic movies, so on the verge of puberty, he develops a crush on Victor, a kindly young cop. Maxi's heart and loyalties are on a collision course: Victor is investigating crimes that lead him to Maxi's family. In the land of the morning, is there a place for this child of the sun returning?Written by<jhailey@hotmail.com>",0.9462000131607056,7.0,"['lad', 'wish', 'girl', 'navigate', 'mean', 'street', 'manila', 'maxi', 'cook', 'clean', 'sew', 'father', 'old', 'brother', 'petty', 'criminal', 'he_s', 'sweet', 'clever', 'hardworking', 'ease', 'gay', 'pin', 'flower', 'hair', 'swinge', 'hip', 'walk', 'vamp', 'friend', 'he_s', 'see', 'adult', 'kiss', 'watch', 'romantic', 'movie', 'verge', 'puberty', 'develop', 'crush', 'victor', 'kindly', 'young', 'cop', 'maxis', 'heart', 'loyalty', 'collision', 'course', 'victor', 'investigate', 'crime', 'lead', 'family', 'land', 'morning', 'place', 'child', 'sun', 'return']","life, depend, film, move, good, ever, emotional, deliver, equipment, student"
Patayin mo sa sindak si Barbara,1974,"Horror, Mystery",There is something strange about this motion picture.,0.53329998254776,13.0,['strange'],"hit, screen, drama, strange, sow, ever, unfulfilled, energy, coco, fernando_poe_jr"
Babagwa,2013,Drama,"A man, Greg, whose going past his heyday as a bodybuilder and facing problems both with his quarreling parents and over-bearing girlfriend turns to conning people for money using a made-up Facebook account as part of an elaborate scheme devised by his manager, Marney. Their operation gets compromised when Greg falls in love with their latest victim, Daisy, an older, single woman. This is a story of deceptive people and how they feed on other people's want for love, sex and money.Written byBuddyBoy60",0.8059999942779541,3.0,"['man', 'go', 'past', 'heyday', 'bodybuilder', 'face', 'problem', 'quarrel', 'parent', 'overbearing', 'girlfriend', 'turn', 'con', 'people', 'money', 'use', 'madeup', 'facebook', 'account', 'part', 'elaborate', 'scheme', 'devise', 'manager', 'marney', 'operation', 'compromise', 'greg', 'fall', 'love', 'late', 'victim', 'daisy', 'old', 'single', 'woman', 'story', 'deceptive', 'people', 'feed', 'people', 'want', 'love', 'sex', 'money']","love, story, life, household, comfort, friend, live, make, man, long"
Ipaglaban mo,2014,"Crime, Drama, Thriller","ABS-CBN's long-running crime drama series that tackles all of the criminal cases from the Supreme Court and Court of Appeals. Crimes, interrogations, confrontations, and court scenes are the points of the program. Hosted by Atty. Jose C. Sison and his son Jopet Sison to narrate the criminal cases of the people.Written byEdmund Nishikata",0.7087000012397766,8.0,"['abscbns', 'longrunning', 'crime', 'drama', 'series', 'tackle', 'criminal', 'case', 'supreme', 'court', 'court', 'appeal', 'crime', 'interrogation', 'confrontation', 'court', 'scene', 'point', 'program', 'host', 'atty', 'jose', 'c', 'sison', 'son', 'jopet', 'sison', 'narrate', 'criminal', 'case', 'people']","good, life, hunt, set, continue, take, community, story, struggle, violent"
Swipe,2017,Drama,"When a CCTV is installed in an apartment, it starts to record their activities and show the tenant's private lives. It tells the story of Loida who is a lady guard, Gloria whose marriage has recently been annulled, Frank who is a married man and actively engaging into gay dating sites and Janet and Edward who are the new tenants hoping to make a clean start in their marriage.Written byanonymous",0.6047000288963318,7.0,"['cctv', 'instal', 'apartment', 'start', 'record', 'activity', 'show', 'tenant', 'private', 'life', 'tell', 'story', 'loida', 'lady', 'guard', 'marriage', 'recently', 'annul', 'frank', 'marry', 'man', 'actively', 'engage', 'gay', 'date', 'site', 'edward', 'new', 'tenant', 'hope', 'make', 'clean', 'start', 'marriage']","life, depend, film, move, good, ever, emotional, deliver, equipment, student"
Eerie,2018,"Horror, Mystery, Thriller","The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion (Bea Alonzo), the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student's death. Most students suspect of the strict and borderline abusive Mother Alice (Charo Santos-Concio), who also threatened Pat's tenure in the school because of her continuous meddling with the case. But Pat's unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.Written byStar Cinema",0.671500027179718,0.0,"['unexpected', 'gruesome', 'death', 'student', 'threaten', 'existence', 'old', 'catholic', 'school', 'girl', 'pat', 'consolacion', 'school', 'guidance', 'counselor', 'involve', 'student', 'hope', 'cope', 'time', 'uncover', 'mystery', 'student', 'death', 'student', 'suspect', 'strict', 'borderline', 'abusive', 'mother', 'charo', 'santosconcio', 'also', 'threaten', 'pat', 'tenure', 'school', 'continuous', 'meddling', 'case', 'pat', 'unusual', 'talent', 'lead', 'know', 'former', 'student', 'watch', 'whole', 'school', 'year', 'piece', 'piece', 'pat', 'uncover', 'secret', 'school', 'monster', 'nurture', 'century']","life, time, woman, story, sound, man, young, relationship, love, way"
Para sa broken hearted,2018,Drama,"Three interweaving stories of broken hearts, that tackle the pain of heartbreak, acceptance, moving on and the courage to learn to love again.",0.6639999747276306,0.0,"['interweave', 'story', 'break', 'heart', 'tackle', 'pain', 'heartbreak', 'acceptance', 'move', 'courage', 'learn', 'love']","life, time, woman, story, sound, man, young, relationship, love, way"
Squad Goals,2018,Comedy,"Five boys finds connection in each other while dealing with school, love and family problems.",0.8963000178337097,6.0,"['boy', 'find', 'connection', 'deal', 'school', 'love', 'family', 'problem']","life, film, family, live, face, man, people, love, story, first"
Bakekang,2006,"Drama, Romance","A loving heart trapped beneath an ugly facade, ignored and unappreciated by those who fail to see beyond what is skin-deep. She is a woman whose only desire is to feel a little affection from the world that has deprived her of everything she has always longed for. In GMA Network's newest prime-time drama Bakekang, the unusual face of an unlikely heroine will emerge to present a riveting story of an ugly woman's rise from a sorry state of ridicule to the pedestal of triumph and coveted fame. Created by top-selling comics novelist and award-winning director Carlo J. Caparas, Bakekang is a comics classic serialized in Bondying Komiks which was made into a movie in 1978 with no less than Philippine show-business' superstar Nora Aunor portraying the title role.Written byigma.tv",0.6299999952316284,0.0,"['love', 'heart', 'trap', 'ugly', 'facade', 'ignore', 'unappreciated', 'fail', 'see', 'skindeep', 'woman', 'desire', 'feel', 'little', 'affection', 'world', 'deprive', 'always', 'long', 'gma', 'network', 'new', 'primetime', 'drama', 'bakekang', 'unusual', 'face', 'unlikely', 'heroine', 'emerge', 'present', 'riveting', 'story', 'ugly', 'womans', 'rise', 'sorry', 'state', 'ridicule', 'pedestal', 'triumph', 'coveted', 'fame', 'create', 'topselle', 'comic_strip', 'novelist', 'awardwinning', 'director', 'carlo', 'bakekang', 'comic_strip', 'classic', 'serialize', 'bondying', 'komiks', 'make', 'movie', 'less', 'philippine', 'showbusiness', 'superstar', 'portray', 'title', 'role']","life, time, woman, story, sound, man, young, relationship, love, way"
Island Dreams,2013,"Comedy, Romance",An unaccredited tour guide and a heartbroken tourist form a romantic bond as they explore the wilds of Philippine Islands.,0.9218999743461608,0.0,"['unaccredited', 'tour', 'guide', 'heartbroken', 'tourist', 'form', 'romantic', 'bond', 'explore', 'philippine', 'island']","life, time, woman, story, sound, man, young, relationship, love, way"
"EDSA XXX: Ganito kami noon, ganito pa rin kami ngayon",2014,"Drama, Fantasy, Musical",Political realism in an absurdist musical. Everything in this film is based on exaggeration and also on the incomparable reality of the Philippines.,0.9218999743461608,2.0,"['political', 'realism', 'absurdist', 'musical', 'film', 'base', 'exaggeration', 'also', 'incomparable', 'reality', 'philippine']","great, musical, film, adult, today, inside, industrial, camera, footage, see"
Women in Cages,1971,"Action, Crime, Drama","Framed by her vicious drug-dealing boyfriend, Rudy, innocent Carol ""Jeff"" Jeffries finds herself behind bars in a dark Philippine prison somewhere in the lush jungles of Manila. There, always under the thumb of the sadistic lesbian warden, Alabama, Jeff comes face-to-face with the cruel reality and the extreme conditions of the hellish jail, forced to endure daily humiliation and brutal torture. In the past, many have tried to escape Alabama's horrible purgatory; however, all have failed. Can Jeff and the dirty inmates of Devil's Island pull off a brazen prison break?Written byNick Riganas",0.5911999940872192,11.0,"['frame', 'vicious', 'drugdealing', 'boyfriend', 'rudy', 'innocent', 'carol', 'find', 'behind_bar', 'dark', 'philippine', 'prison', 'somewhere', 'lush', 'jungle', 'manila', 'always', 'thumb', 'sadistic', 'lesbian', 'warden', 'come', 'facetoface', 'cruel', 'reality', 'extreme', 'condition', 'hellish', 'jail', 'force', 'endure', 'daily', 'humiliation', 'brutal', 'torture', 'many', 'try', 'escape', 'alabamas', 'horrible', 'purgatory', 'however', 'fail', 'dirty', 'inmate', 'devil', 'island', 'pull', 'brazen', 'prison', 'break']","sibling, story, girl, martinez, bet, lo, bj, lizard, monitor, geoff"
"Lumaban ka, Satanas",1983,"Adventure, Fantasy, Horror","A Filipino-made horror-fantasy movie about a man who is chosen by his dead uncle to battle the forces of evil. He fights a being called ""The Prince of Magic,"" who shoots rays from his hands, makes heads spin around and hypnotizes people. He finally faces Satan himself and engages him in a battle of magic.Written byØrnås",0.3418999910354614,2.0,"['horrorfantasy', 'movie', 'man', 'choose', 'dead', 'uncle', 'battle', 'force', 'evil', 'fight', 'call', 'prince', 'magic', 'shoot', 'ray', 'hand', 'make', 'head', 'spin', 'around', 'hypnotize', 'people', 'finally', 'face', 'engage', 'battle', 'magic']","great, musical, film, adult, today, inside, industrial, camera, footage, see"
Just the Way You Are,2015,"Drama, Romance","When Drake lost in a bet, his best friend wanted him to court a girl in a month and ask her to be his girlfriend. After she said, ""Yes"", he will tell her that he doesn't love her and all that happened between them was a game. But what if Sophia, the girl his best friend chose, is clever than they think she is? What will happen if she knows something about their pretty little secret?Written byilurvbooks",0.7398999929428101,11.0,"['drake', 'lose', 'bet', 'want', 'court', 'girl', 'month', 'ask', 'girlfriend', 'say', 'tell', 'love', 'happen', 'game', 'girl', 'choose', 'clever', 'think', 'happen', 'know', 'pretty', 'little', 'secret']","sibling, story, girl, martinez, bet, lo, bj, lizard, monitor, geoff"
Ded na si Lolo,2009,Comedy,"A large family with lots of issues gather together to mourn the death of the family patriarch. But getting in the way of their genuine grief are a bunch of superstitions about the dead, and the family's inability to deal with their issues in a civilized way.Written byledster",0.6581000089645386,4.0,"['large', 'family', 'lot', 'issue', 'gather', 'together', 'mourn', 'death', 'family', 'patriarch', 'get', 'way', 'genuine', 'grief', 'bunch', 'superstition', 'dead', 'familys', 'inability', 'deal', 'issue', 'civilized', 'way']","fashion, father, life, live, follow, find, mar, biological, child, quiz"
Mula sa kung ano ang noon,2014,Drama,"The Philippines, 1972. Mysterious things are happening in a remote barrio. Wails are heard from the forest, cows are hacked to death, a man is found bleeding to death at the crossroad and houses are burned. Ferdinand E. Marcos announces Proclamation No. 1081 putting the entire country under Martial Law.Written byWorld Premieres Film Festival",0.9650999903678894,0.0,"['philippine', 'mysterious', 'thing', 'happen', 'remote', 'barrio', 'wail', 'hear', 'forest', 'cow', 'hack', 'death', 'man', 'find', 'bleed', 'death', 'crossroad', 'house', 'burn', 'e', 'announce', 'proclamation', 'put', 'entire', 'country', 'martial_law']","life, time, woman, story, sound, man, young, relationship, love, way"
Wonder Women,1973,"Action, Horror, Sci-Fi","Dr. Tsu is a brilliant surgeon with her own exotic island off the coast of Manila. Using her sexy, all-girl army of martial-arts experts, Tsu kidnaps some of the world's greatest athletes. She is able to transplant any body part, so she uses the athletes for spare parts to sell to the world's richest men. Mike Harber is a womanizing, wise-cracking insurance investigator for Lloyd's of London sent to Manila to investigate the disappearance of a jai-alai player, and becomes involved with Dr. Tsu's mad mission.Written byMarty McKee <mmckee@soltec.net>",0.980400025844574,5.0,"['brilliant', 'surgeon', 'exotic', 'island', 'coast', 'manila', 'use', 'sexy', 'allgirl', 'army', 'martialart', 'expert', 'kidnap', 'world', 'great', 'athlete', 'able', 'transplant', 'body', 'part', 'use', 'athlete', 'spare', 'part', 'sell', 'world', 'rich', 'man', 'mike', 'harber', 'womanize', 'wisecracking', 'insurance', 'investigator', 'lloyds', 'london', 'send', 'manila', 'investigate', 'disappearance', 'jaialai', 'player', 'become', 'involved', 'tsus', 'mad', 'mission']","film, corregidor, terror, aswang, documentary, drug, influence, shock, war, story"
Return of the Dragon,1974,"Action, Comedy",Tang Lung arrives in Rome to help save the family restaurant from a group of thugs who want the property for themselves.,0.9221000075340272,11.0,"['lung', 'arrive', 'rome', 'help', 'save', 'family', 'restaurant', 'group', 'thug', 'want', 'property']","sibling, story, girl, martinez, bet, lo, bj, lizard, monitor, geoff"
"Greggy en' Boogie: Sakyan mo na lang, Anna",1994,Comedy,Greggy and Boogie are good friends. Both of them work as Jeepney Drivers and Handymen for some customers in their small community. They usually get into trouble for being too careless and yet they try to survive honestly in whatever they do.Written byledster,0.7906000018119812,12.0,"['greggy', 'boogie', 'good', 'friend', 'work', 'jeepney', 'driver', 'handyman', 'customer', 'small', 'community', 'usually', 'get', 'trouble', 'careless', 'try', 'survive', 'honestly']","man, law, standing, eva, live, center, child, show, play, see"
Batch '81,1982,Drama,"The lives of seven neophytes as they strive to enter a Greek letter fraternity through a difficult hazing process. The entire experience is seen through the eyes of Sid Lucero, one of the neophytes.",0.614300012588501,0.0,"['live', 'neophyte', 'strive', 'enter', 'greek', 'letter', 'fraternity', 'difficult', 'hazing', 'process', 'entire', 'experience', 'see', 'eye', 'lucero', 'neophyte']","life, time, woman, story, sound, man, young, relationship, love, way"
Petmalu,2018,Comedy,"The Filipino slang word ""Petmalu"" means cool. The movie illustrates a group of seven friends who go through a number of life challenges and successes with themselves and each other. A comedy film from Red Nine Entertainment and Larger Than Life.",0.9555000066757202,7.0,"['filipino', 'slang', 'word', 'mean', 'cool', 'movie', 'illustrate', 'group', 'friend', 'go', 'number', 'life', 'challenge', 'success', 'comedy', 'film', 'red', 'entertainment', 'large', 'life']","life, depend, film, move, good, ever, emotional, deliver, equipment, student"
Anak ng Macho Dancer,2021,Drama,"This is the story of Inno, the son of Pol, the original Macho Dancer.",0.6779000163078308,12.0,"['story', 'inno', 'son', 'pol', 'original', 'macho', 'dancer']","man, law, standing, eva, live, center, child, show, play, see"
Maybe This Time,2014,"Comedy, Drama, Romance","Steph Asuncion and Tonio Bugayong were once in love. Back then, she was a young girl who wanted a simple life and he was older, more ambitious than she was. Tonio was a small town guy who wants to board a ship to provide for his family's furniture business. Sarah was a Manila girl who spends the summer in the province for community service. What might have been a sweet relationship ended sourly when Tonio left without saying goodbye. Steph was heartbroken and it taught her to dream bigger to be worthy of love. Will their paths cross again? Will they overcome the pains of the past to give love a second chance? This is a story between two people who will be reminded about the importance of being true to one's self in order for true love to happen.Written byAnonymous",0.9836000204086304,3.0,"['asuncion', 'bugayong', 'love', 'young', 'girl', 'want', 'simple', 'life', 'old', 'ambitious', 'small', 'town', 'guy', 'want', 'board', 'ship', 'provide', 'familys', 'furniture', 'business', 'manila', 'girl', 'spend', 'summer', 'province', 'community', 'service', 'sweet', 'relationship', 'end', 'sourly', 'tonio', 'leave', 'say', 'goodbye', 'teach', 'dream', 'big', 'worthy', 'love', 'overcome', 'pain', 'past', 'give', 'love', 'story', 'people', 'remind', 'importance', 'true', 'one', 'self', 'order', 'true', 'love', 'happen']","love, story, life, household, comfort, friend, live, make, man, long"
Prinsipe Teñoso,1954,"Action, Adventure, Fantasy","Based on the original script of Manuel Conde, the 1954 version of Prinsipe Teñoso tells of Prince Teñoso who is exiled by his father, the king after freeing the pitiful giant from jail. In gratitude, the giant gives Teñoso a magic handkerchief that can tame animals and can give him his wishes. As a beggar, Teñoso is despised by the princes, the king's soon-to-be sons-in-law, but eventually is recognized as the hero responsible for curing the king's illness, and winning the king's battles against the moors.Written byIloilo Gid",0.5590999722480774,13.0,"['base', 'original', 'script', 'manuel', 'version', 'prinsipe', 'teñoso', 'tell', 'prince', 'exile', 'father', 'king', 'free', 'pitiful', 'giant', 'jail', 'gratitude', 'giant', 'give', 'teñoso', 'magic', 'handkerchief', 'tame', 'animal', 'give', 'wish', 'beggar', 'teñoso', 'despise', 'prince', 'king', 'soontobe', 'sonsinlaw', 'eventually', 'recognize', 'hero', 'responsible', 'curing', 'king', 'illness', 'win', 'king', 'battle', 'moor']","hit, screen, drama, strange, sow, ever, unfulfilled, energy, coco, fernando_poe_jr"
The Big Doll House,1971,"Action, Drama, Thriller","Thrown into a remote Philippine prison somewhere in the untamed jungles of Manila, Collier enters the all-female jail after her horrible crime. There, sharing the same squalid cell with the equally unfortunate inmates--the tough-as-nails lesbian leader, Grear; the cynical, Alcott; the heroin-addict, Harrad, and the rebellious cellmates, Ferina and Bodine--beautiful Collier will immediately catch the eye of the brutal guard, Lucian. But, life behind bars is hard, and amid daily humiliation, cat-fights, free sex, and torture, the desperate women concoct a daring escape plan. Will the lethal sextet of prisoners escape from the cage?Written byNick Riganas",0.8960999846458435,2.0,"['throw', 'remote', 'philippine', 'prison', 'somewhere', 'untamed', 'jungle', 'manila', 'collier', 'enter', 'allfemale', 'jail', 'horrible', 'crime', 'share', 'squalid', 'cell', 'equally', 'unfortunate', 'toughasnail', 'lesbian', 'leader', 'grear', 'cynical', 'alcott', 'heroinaddict', 'rebellious', 'cellmate', 'ferina', 'bodinebeautiful', 'collier', 'immediately', 'catch', 'eye', 'brutal', 'guard', 'lucian', 'life', 'behind_bar', 'hard', 'daily', 'humiliation', 'catfight', 'free', 'sex', 'torture', 'desperate', 'woman', 'concoct', 'dare', 'escape', 'plan', 'lethal', 'sextet', 'prisoner', 'escape', 'cage']","great, musical, film, adult, today, inside, industrial, camera, footage, see"
Dead Kids,2019,Thriller,"Tired of being tormented by popular rich kid Chuck Santos, the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father. Once their nefarious plan gets going though, they realize how much they were in over their heads",0.9592000246047974,8.0,"['tired', 'torment', 'popular', 'rich', 'kid', 'chuck', 'boy', 'hatch', 'plot', 'kidnap', 'bully', 'demand', 'sizable', 'ransom', 'father', 'nefarious', 'plan', 'go', 'though', 'realize', 'much', 'head']","good, life, hunt, set, continue, take, community, story, struggle, violent"
She's the One,2013,"Drama, Romance",A morning show host suddenly realizes what he really wants when his best friend turns out to be the subject of a romantic viral video that captures the attention of the whole nation.,0.4101999998092651,9.0,"['morning', 'show', 'host', 'suddenly', 'realize', 'really', 'want', 'turn', 'subject', 'romantic', 'viral', 'video', 'capture', 'attention', 'whole', 'nation']","amanda, idol, lani, judge, teenage, big, life, mother, rumor, story"
