,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
30,"EDSA XXX: Ganito kami noon, ganito pa rin kami ngayon",2014,"Drama, Fantasy, Musical",Political realism in an absurdist musical. Everything in this film is based on exaggeration and also on the incomparable reality of the Philippines.,movie,,"['political', 'realism', 'absurdist', 'musical', 'film', 'base', 'exaggeration', 'also', 'incomparable', 'reality', 'philippine']"
32,Women in Cages,1971,"Action, Crime, Drama","Framed by her vicious drug-dealing boyfriend, Rudy, innocent Carol ""Jeff"" Jeffries finds herself behind bars in a dark Philippine prison somewhere in the lush jungles of Manila. There, always under the thumb of the sadistic lesbian warden, Alabama, Jeff comes face-to-face with the cruel reality and the extreme conditions of the hellish jail, forced to endure daily humiliation and brutal torture. In the past, many have tried to escape Alabama's horrible purgatory; however, all have failed. Can Jeff and the dirty inmates of Devil's Island pull off a brazen prison break?Written byNick Riganas",movie,,"['frame', 'vicious', 'drugdealing', 'boyfriend', 'rudy', 'innocent', 'carol', 'find', 'behind_bar', 'dark', 'philippine', 'prison', 'somewhere', 'lush', 'jungle', 'manila', 'always', 'thumb', 'sadistic', 'lesbian', 'warden', 'come', 'facetoface', 'cruel', 'reality', 'extreme', 'condition', 'hellish', 'jail', 'force', 'endure', 'daily', 'humiliation', 'brutal', 'torture', 'many', 'try', 'escape', 'alabamas', 'horrible', 'purgatory', 'however', 'fail', 'dirty', 'inmate', 'devil', 'island', 'pull', 'brazen', 'prison', 'break']"
33,"Lumaban ka, Satanas",1983,"Adventure, Fantasy, Horror","A Filipino-made horror-fantasy movie about a man who is chosen by his dead uncle to battle the forces of evil. He fights a being called ""The Prince of Magic,"" who shoots rays from his hands, makes heads spin around and hypnotizes people. He finally faces Satan himself and engages him in a battle of magic.Written byØrnås",movie,,"['horrorfantasy', 'movie', 'man', 'choose', 'dead', 'uncle', 'battle', 'force', 'evil', 'fight', 'call', 'prince', 'magic', 'shoot', 'ray', 'hand', 'make', 'head', 'spin', 'around', 'hypnotize', 'people', 'finally', 'face', 'engage', 'battle', 'magic']"
34,Just the Way You Are,2015,"Drama, Romance","When Drake lost in a bet, his best friend wanted him to court a girl in a month and ask her to be his girlfriend. After she said, ""Yes"", he will tell her that he doesn't love her and all that happened between them was a game. But what if Sophia, the girl his best friend chose, is clever than they think she is? What will happen if she knows something about their pretty little secret?Written byilurvbooks",movie,"$2,211,899","['drake', 'lose', 'bet', 'want', 'court', 'girl', 'month', 'ask', 'girlfriend', 'say', 'tell', 'love', 'happen', 'game', 'girl', 'choose', 'clever', 'think', 'happen', 'know', 'pretty', 'little', 'secret']"
37,Ded na si Lolo,2009,Comedy,"A large family with lots of issues gather together to mourn the death of the family patriarch. But getting in the way of their genuine grief are a bunch of superstitions about the dead, and the family's inability to deal with their issues in a civilized way.Written byledster",movie,"$129,584","['large', 'family', 'lot', 'issue', 'gather', 'together', 'mourn', 'death', 'family', 'patriarch', 'get', 'way', 'genuine', 'grief', 'bunch', 'superstition', 'dead', 'familys', 'inability', 'deal', 'issue', 'civilized', 'way']"
41,Mula sa kung ano ang noon,2014,Drama,"The Philippines, 1972. Mysterious things are happening in a remote barrio. Wails are heard from the forest, cows are hacked to death, a man is found bleeding to death at the crossroad and houses are burned. Ferdinand E. Marcos announces Proclamation No. 1081 putting the entire country under Martial Law.Written byWorld Premieres Film Festival",movie,,"['philippine', 'mysterious', 'thing', 'happen', 'remote', 'barrio', 'wail', 'hear', 'forest', 'cow', 'hack', 'death', 'man', 'find', 'bleed', 'death', 'crossroad', 'house', 'burn', 'e', 'announce', 'proclamation', 'put', 'entire', 'country', 'martial_law']"
42,Wonder Women,1973,"Action, Horror, Sci-Fi","Dr. Tsu is a brilliant surgeon with her own exotic island off the coast of Manila. Using her sexy, all-girl army of martial-arts experts, Tsu kidnaps some of the world's greatest athletes. She is able to transplant any body part, so she uses the athletes for spare parts to sell to the world's richest men. Mike Harber is a womanizing, wise-cracking insurance investigator for Lloyd's of London sent to Manila to investigate the disappearance of a jai-alai player, and becomes involved with Dr. Tsu's mad mission.Written byMarty McKee <mmckee@soltec.net>",movie,,"['brilliant', 'surgeon', 'exotic', 'island', 'coast', 'manila', 'use', 'sexy', 'allgirl', 'army', 'martialart', 'expert', 'kidnap', 'world', 'great', 'athlete', 'able', 'transplant', 'body', 'part', 'use', 'athlete', 'spare', 'part', 'sell', 'world', 'rich', 'man', 'mike', 'harber', 'womanize', 'wisecracking', 'insurance', 'investigator', 'lloyds', 'london', 'send', 'manila', 'investigate', 'disappearance', 'jaialai', 'player', 'become', 'involved', 'tsus', 'mad', 'mission']"
43,Return of the Dragon,1974,"Action, Comedy",Tang Lung arrives in Rome to help save the family restaurant from a group of thugs who want the property for themselves.,movie,,"['lung', 'arrive', 'rome', 'help', 'save', 'family', 'restaurant', 'group', 'thug', 'want', 'property']"
44,"Greggy en' Boogie: Sakyan mo na lang, Anna",1994,Comedy,Greggy and Boogie are good friends. Both of them work as Jeepney Drivers and Handymen for some customers in their small community. They usually get into trouble for being too careless and yet they try to survive honestly in whatever they do.Written byledster,movie,,"['greggy', 'boogie', 'good', 'friend', 'work', 'jeepney', 'driver', 'handyman', 'customer', 'small', 'community', 'usually', 'get', 'trouble', 'careless', 'try', 'survive', 'honestly']"
45,Batch '81,1982,Drama,"The lives of seven neophytes as they strive to enter a Greek letter fraternity through a difficult hazing process. The entire experience is seen through the eyes of Sid Lucero, one of the neophytes.",movie,,"['live', 'neophyte', 'strive', 'enter', 'greek', 'letter', 'fraternity', 'difficult', 'hazing', 'process', 'entire', 'experience', 'see', 'eye', 'lucero', 'neophyte']"
47,Petmalu,2018,Comedy,"The Filipino slang word ""Petmalu"" means cool. The movie illustrates a group of seven friends who go through a number of life challenges and successes with themselves and each other. A comedy film from Red Nine Entertainment and Larger Than Life.",movie,,"['filipino', 'slang', 'word', 'mean', 'cool', 'movie', 'illustrate', 'group', 'friend', 'go', 'number', 'life', 'challenge', 'success', 'comedy', 'film', 'red', 'entertainment', 'large', 'life']"
48,Anak ng Macho Dancer,2021,Drama,"This is the story of Inno, the son of Pol, the original Macho Dancer.",movie,,"['story', 'inno', 'son', 'pol', 'original', 'macho', 'dancer']"
51,Maybe This Time,2014,"Comedy, Drama, Romance","Steph Asuncion and Tonio Bugayong were once in love. Back then, she was a young girl who wanted a simple life and he was older, more ambitious than she was. Tonio was a small town guy who wants to board a ship to provide for his family's furniture business. Sarah was a Manila girl who spends the summer in the province for community service. What might have been a sweet relationship ended sourly when Tonio left without saying goodbye. Steph was heartbroken and it taught her to dream bigger to be worthy of love. Will their paths cross again? Will they overcome the pains of the past to give love a second chance? This is a story between two people who will be reminded about the importance of being true to one's self in order for true love to happen.Written byAnonymous",movie,"$3,124,420","['asuncion', 'bugayong', 'love', 'young', 'girl', 'want', 'simple', 'life', 'old', 'ambitious', 'small', 'town', 'guy', 'want', 'board', 'ship', 'provide', 'familys', 'furniture', 'business', 'manila', 'girl', 'spend', 'summer', 'province', 'community', 'service', 'sweet', 'relationship', 'end', 'sourly', 'tonio', 'leave', 'say', 'goodbye', 'teach', 'dream', 'big', 'worthy', 'love', 'overcome', 'pain', 'past', 'give', 'love', 'story', 'people', 'remind', 'importance', 'true', 'one', 'self', 'order', 'true', 'love', 'happen']"
52,Prinsipe Teñoso,1954,"Action, Adventure, Fantasy","Based on the original script of Manuel Conde, the 1954 version of Prinsipe Teñoso tells of Prince Teñoso who is exiled by his father, the king after freeing the pitiful giant from jail. In gratitude, the giant gives Teñoso a magic handkerchief that can tame animals and can give him his wishes. As a beggar, Teñoso is despised by the princes, the king's soon-to-be sons-in-law, but eventually is recognized as the hero responsible for curing the king's illness, and winning the king's battles against the moors.Written byIloilo Gid",movie,,"['base', 'original', 'script', 'manuel', 'version', 'prinsipe', 'teñoso', 'tell', 'prince', 'exile', 'father', 'king', 'free', 'pitiful', 'giant', 'jail', 'gratitude', 'giant', 'give', 'teñoso', 'magic', 'handkerchief', 'tame', 'animal', 'give', 'wish', 'beggar', 'teñoso', 'despise', 'prince', 'king', 'soontobe', 'sonsinlaw', 'eventually', 'recognize', 'hero', 'responsible', 'curing', 'king', 'illness', 'win', 'king', 'battle', 'moor']"
56,The Big Doll House,1971,"Action, Drama, Thriller","Thrown into a remote Philippine prison somewhere in the untamed jungles of Manila, Collier enters the all-female jail after her horrible crime. There, sharing the same squalid cell with the equally unfortunate inmates--the tough-as-nails lesbian leader, Grear; the cynical, Alcott; the heroin-addict, Harrad, and the rebellious cellmates, Ferina and Bodine--beautiful Collier will immediately catch the eye of the brutal guard, Lucian. But, life behind bars is hard, and amid daily humiliation, cat-fights, free sex, and torture, the desperate women concoct a daring escape plan. Will the lethal sextet of prisoners escape from the cage?Written byNick Riganas",movie,,"['throw', 'remote', 'philippine', 'prison', 'somewhere', 'untamed', 'jungle', 'manila', 'collier', 'enter', 'allfemale', 'jail', 'horrible', 'crime', 'share', 'squalid', 'cell', 'equally', 'unfortunate', 'toughasnail', 'lesbian', 'leader', 'grear', 'cynical', 'alcott', 'heroinaddict', 'rebellious', 'cellmate', 'ferina', 'bodinebeautiful', 'collier', 'immediately', 'catch', 'eye', 'brutal', 'guard', 'lucian', 'life', 'behind_bar', 'hard', 'daily', 'humiliation', 'catfight', 'free', 'sex', 'torture', 'desperate', 'woman', 'concoct', 'dare', 'escape', 'plan', 'lethal', 'sextet', 'prisoner', 'escape', 'cage']"
58,Dead Kids,2019,Thriller,"Tired of being tormented by popular rich kid Chuck Santos, the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father. Once their nefarious plan gets going though, they realize how much they were in over their heads",movie,,"['tired', 'torment', 'popular', 'rich', 'kid', 'chuck', 'boy', 'hatch', 'plot', 'kidnap', 'bully', 'demand', 'sizable', 'ransom', 'father', 'nefarious', 'plan', 'go', 'though', 'realize', 'much', 'head']"
60,She's the One,2013,"Drama, Romance",A morning show host suddenly realizes what he really wants when his best friend turns out to be the subject of a romantic viral video that captures the attention of the whole nation.,movie,"$3,189,636","['morning', 'show', 'host', 'suddenly', 'realize', 'really', 'want', 'turn', 'subject', 'romantic', 'viral', 'video', 'capture', 'attention', 'whole', 'nation']"
61,Adultery,1984,Drama,"Dreaming to be released from her miserable life of poverty, Aida, a waitress, abandons her bedridden father, her moralistic mother, her jobless brother and her good-for-nothing sister to live-in with her boyfriend Carding, whom she believes could give her salvation. But her plan only gives her more misfortunes. Carding gets jailed for drug peddling. Aida opts for an abortion. She later lives with a wealthy man to feul her ambition. Carding is released from prison and finds out about his wife's illicit affair.Written byctfabian",movie,,"['dream', 'release', 'miserable', 'life', 'poverty', 'aida', 'waitress', 'abandon', 'bedridden', 'father', 'moralistic', 'mother', 'jobless', 'brother', 'goodfornothe', 'sister', 'livein', 'boyfriend', 'carding', 'believe', 'give', 'salvation', 'plan', 'give', 'misfortune', 'carding', 'jail', 'drug', 'peddling', 'aida', 'opt', 'abortion', 'later', 'live', 'wealthy', 'man', 'feul', 'ambition', 'carding', 'release', 'prison', 'find', 'wifes', 'illicit', 'affair']"
62,Prinsesa Naranja,1960,Drama,3 Romantic Stories in a great epic as colorful as it is magnificent.,movie,,"['romantic', 'story', 'great', 'epic', 'colorful', 'magnificent']"
63,Ang manananggal sa unit 23B,2016,"Drama, Horror, Romance","Jewel is a mysterious woman who lives alone in the city. She has a secret which has led her to settle into a lonely existence. That is, until she meets Nico, a broken-hearted, down-and-out guy who also feels unlovable like she does. Jewel is torn between wanting to love him and wanting to save him from herself. Will he accept her if he knew the truth about her? Can she ever find love, or is she destined to be alone forever?Written byanonymous",movie,,"['jewel', 'mysterious', 'woman', 'live', 'alone', 'city', 'secret', 'lead', 'settle', 'lonely', 'existence', 'meet', 'nico', 'brokenhearted', 'downandout', 'guy', 'also', 'feel', 'unlovable', 'jewel', 'tear', 'want', 'love', 'want', 'save', 'accept', 'know', 'truth', 'ever', 'find', 'love', 'destine', 'alone', 'forever']"
64,"Hello, Stranger",2020,"Comedy, Romance","Follows the unlikely relationship of Mico and Xavier while they navigate schoolwork in the middle of a pandemic as strangers, enemies, partners, friends, and much much more.",tv,,"['follow', 'unlikely', 'relationship', 'mico', 'navigate', 'schoolwork', 'middle', 'pandemic', 'stranger', 'enemie', 'partner', 'friend', 'much', 'much']"
67,Chasing Fire,2013,"Crime, Drama, Romance","An ill-fated couple must face and find the resolution to their own destinies. Chasing Fire surpasses the commonplace of two people defining love. Living behind the shadow of her mother, Kristin falls in love with Shane, an aspiring musician, whom she soon discovers to have something innately in common with her. Chasing Fire does not only exemplify finding love and happiness, it also accentuates discovering oneself and delving into life as it is- a reality that most people don't normally live in.Written byXander Roth",movie,,"['illfated', 'couple', 'face', 'find', 'resolution', 'destiny', 'chase', 'fire', 'surpass', 'commonplace', 'people', 'define', 'love', 'live', 'shadow', 'mother', 'kristin', 'fall', 'love', 'shane', 'aspire', 'musician', 'soon', 'discover', 'innately', 'common', 'chasing', 'fire', 'exemplify', 'find', 'love', 'happiness', 'also', 'accentuate', 'discover', 'oneself', 'delve', 'life', 'reality', 'people', 'normally', 'live']"
